LOCATION,Country,SECTOR,Sector / Industry,RESTYPE,Type of restriction,SERIES,Series2,TIME,Year,Value,Flag Codes,Flags
AUS,Australia,1,Primary,V,All types of restrictions,INDEX,Index total,1997,1997,0.2,,
AUS,Australia,1,Primary,V,All types of restrictions,INDEX,Index total,2003,2003,0.181,,
AUS,Australia,1,Primary,V,All types of restrictions,INDEX,Index total,2006,2006,0.181,,
AUS,Australia,1,Primary,V,All types of restrictions,INDEX,Index total,2010,2010,0.078,,
AUS,Australia,1,Primary,V,All types of restrictions,INDEX,Index total,2011,2011,0.078,,
AUS,Australia,1,Primary,V,All types of restrictions,INDEX,Index total,2012,2012,0.078,,
AUS,Australia,1,Primary,V,All types of restrictions,INDEX,Index total,2013,2013,0.078,,
AUS,Australia,1,Primary,V,All types of restrictions,INDEX,Index total,2014,2014,0.078,,
AUS,Australia,1,Primary,V,All types of restrictions,INDEX,Index total,2015,2015,0.141,,
AUS,Australia,1,Primary,V,All types of restrictions,INDEX,Index total,2016,2016,0.141,,
AUS,Australia,1,Primary,V,All types of restrictions,INDEX,Index total,2017,2017,0.141,,
AUS,Australia,1,Primary,V,All types of restrictions,INDEX,Index total,2018,2018,0.153,,
AUS,Australia,2,Agriculture & Forestry,V,All types of restrictions,INDEX,Index total,1997,1997,0.2,,
AUS,Australia,2,Agriculture & Forestry,V,All types of restrictions,INDEX,Index total,2003,2003,0.175,,
AUS,Australia,2,Agriculture & Forestry,V,All types of restrictions,INDEX,Index total,2006,2006,0.175,,
AUS,Australia,2,Agriculture & Forestry,V,All types of restrictions,INDEX,Index total,2010,2010,0.075,,
AUS,Australia,2,Agriculture & Forestry,V,All types of restrictions,INDEX,Index total,2011,2011,0.075,,
AUS,Australia,2,Agriculture & Forestry,V,All types of restrictions,INDEX,Index total,2012,2012,0.075,,
AUS,Australia,2,Agriculture & Forestry,V,All types of restrictions,INDEX,Index total,2013,2013,0.075,,
AUS,Australia,2,Agriculture & Forestry,V,All types of restrictions,INDEX,Index total,2014,2014,0.075,,
AUS,Australia,2,Agriculture & Forestry,V,All types of restrictions,INDEX,Index total,2015,2015,0.2,,
AUS,Australia,2,Agriculture & Forestry,V,All types of restrictions,INDEX,Index total,2016,2016,0.2,,
AUS,Australia,2,Agriculture & Forestry,V,All types of restrictions,INDEX,Index total,2017,2017,0.2,,
AUS,Australia,2,Agriculture & Forestry,V,All types of restrictions,INDEX,Index total,2018,2018,0.225,,
AUS,Australia,3,Agriculture,V,All types of restrictions,INDEX,Index total,1997,1997,0.2,,
AUS,Australia,3,Agriculture,V,All types of restrictions,INDEX,Index total,2003,2003,0.175,,
AUS,Australia,3,Agriculture,V,All types of restrictions,INDEX,Index total,2006,2006,0.175,,
AUS,Australia,3,Agriculture,V,All types of restrictions,INDEX,Index total,2010,2010,0.075,,
AUS,Australia,3,Agriculture,V,All types of restrictions,INDEX,Index total,2011,2011,0.075,,
AUS,Australia,3,Agriculture,V,All types of restrictions,INDEX,Index total,2012,2012,0.075,,
AUS,Australia,3,Agriculture,V,All types of restrictions,INDEX,Index total,2013,2013,0.075,,
AUS,Australia,3,Agriculture,V,All types of restrictions,INDEX,Index total,2014,2014,0.075,,
AUS,Australia,3,Agriculture,V,All types of restrictions,INDEX,Index total,2015,2015,0.2,,
AUS,Australia,3,Agriculture,V,All types of restrictions,INDEX,Index total,2016,2016,0.2,,
AUS,Australia,3,Agriculture,V,All types of restrictions,INDEX,Index total,2017,2017,0.2,,
AUS,Australia,3,Agriculture,V,All types of restrictions,INDEX,Index total,2018,2018,0.225,,
AUS,Australia,4,Forestry,V,All types of restrictions,INDEX,Index total,1997,1997,0.2,,
AUS,Australia,4,Forestry,V,All types of restrictions,INDEX,Index total,2003,2003,0.175,,
AUS,Australia,4,Forestry,V,All types of restrictions,INDEX,Index total,2006,2006,0.175,,
AUS,Australia,4,Forestry,V,All types of restrictions,INDEX,Index total,2010,2010,0.075,,
